search.str,threat.status.mma2022
Goeppertia tuberosa,EN
Goeppertia widgrenii,EN
Ischnosiphon ovatus,EN
Saranthe composita,VU
Marcgravia comosa,EN
Marchantia berteroana,EN
Regnellidium diphyllum,VU
Bellucia nigricans,VU
Bertolonia angustifolia,CR
Bertolonia formosa,CR
Bertolonia foveolata,EN
Bertolonia hoehneana,CR
Bertolonia leuzeana,EN
Bertolonia organensis,CR
Bertolonia paranaensis,EN
Bertolonia valenteana,CR
Cambessedesia atropurpurea,VU
Cambessedesia gracilis,EN
Cambessedesia hermogenesii,EN
Cambessedesia weddellii,VU
Cambessedesia wurdackii,VU
Eriocnema acaulis,EN
Huberia carvalhoi,EN
Huberia cordifolia,EN
Huberia corymbosa,EN
Huberia edmundoi,CR
Huberia espiritosantensis,VU
Huberia glazioviana,EN
Huberia hirsuta,VU
Huberia huberioides,EN
Huberia limae,VU
Huberia magdalenensis,VU
Huberia minor,EN
Huberia mourae,VU
Huberia organensis,EN
Huberia piranii,EN
Lavoisiera cordata,VU
Lavoisiera nervulosa,EN
Leandra alpestris,VU
Leandra altomacaensis,CR
Leandra atroviridis,EN
Leandra breviflora,EN
Leandra chaetocalyx,VU
Leandra cogniauxii,EN
Leandra dentata,EN
Leandra fallacissima,EN
Leandra hatschbachii,EN
Leandra loligomorpha,CR
Leandra magdalenensis,EN
Leandra mollis,EN
Leandra mourae,CR
Leandra multisetosa,VU
Leandra niangaeformis,EN
Leandra organensis,EN
Leandra pennipilis,EN
Leandra rubida,VU
Leandra sphaerocarpa,VU
Leandra xantholasia,EN
Macairea cuieirasii,EN
Marcetia alba,CR
Marcetia bahiana,EN
Marcetia formosa,EN
Marcetia hatschbachii,EN
Marcetia luetzelburgii,EN
Marcetia lychnophoroides,EN
Marcetia nummularia,EN
Marcetia oxycoccoides,EN
Marcetia semiriana,EN
Marcetia shepherdii,EN
Marcetia viscida,VU
Meriania calophylla,EN
Meriania calyptrata,EN
Meriania excelsa,CR
Meriania glabra,VU
Meriania glazioviana,EN
Meriania inflata,CR
Meriania longipes,EN
Meriania robusta,EN
Merianthera burlemarxii,EN
Merianthera eburnea,EN
Merianthera pulchra,VU
Merianthera sipolisii,VU
Merianthera verrucosa,EN
Miconia angelana,VU
Miconia bradeana,EN
Miconia capixaba,EN
Miconia castaneiflora,VU
Miconia cinerea,CR
Miconia cipoensis,EN
Miconia comptifolia,EN
Miconia cowanii,EN
Miconia elaeodendron,VU
Miconia laevigata,EN
Miconia lurida,EN
Miconia mendoncae,VU
Miconia molesta,EN
Miconia penduliflora,EN
Miconia picinguabensis,CR
Miconia rondoniensis,EN
Miconia rufipila,CR
Miconia subvernicosa,VU
Miconia umbrosa,EN
Miconia valentinensis,CR
Microlicia canastrensis,EN
Microlicia cuspidifolia,CR
Microlicia flava,EN
Microlicia glazioviana,EN
Microlicia humilis,VU
Microlicia macedoi,EN
Microlicia microphylla,CR
Microlicia obtusifolia,EN
Microlicia psammophila,EN
Mouriri arenicola,CR
Mouriri bahiensis,EN
Mouriri doriana,EN
Mouriri gardneri,VU
Mouriri pranceana,VU
Mouriri regeliana,EN
Ossaea suprabasalis,EN
Ossaea warmingiana,VU
Pleiochiton micranthum,VU
Pleiochiton parvifolium,EN
Pleroma apparicioi,EN
Pleroma axillare,EN
Pleroma benthamianum,EN
Pleroma bergianum,EN
Pleroma boraceiense,VU
Pleroma boudetii,EN
Pleroma castellense,CR
Pleroma cleistoflorum,CR
Pleroma cristatum,EN
Pleroma elegans,EN
Pleroma fragae,CR
Pleroma goldenbergii,CR
Pleroma hirsutissimum,CR
Pleroma integerrimum,EN
Pleroma kuhlmannii,CR
Pleroma maximilianum,EN
Pleroma minus,VU
Pleroma mirabile,EN
Pleroma pallidum,CR
Pleroma quartzophilum,EN
Pleroma riedelianum,EN
Pleroma rigidulum,EN
Pleroma thereminianum,EN
Pleroma virgatum,CR
Pleroma wurdackianum,VU
Rhynchanthera latifolia,VU
Rupestrea carvalhoana,CR
Rupestrea johnwurdackiana,EN
Tococa macroptera,VU
Trembleya calycina,EN
Trembleya chamissoana,EN
Trembleya hatschbachii,EN
Trembleya pentagona,VU
Trembleya pithyoides,CR
Cedrela fissilis,VU
Cedrela odorata,VU
Guarea gracilis,VU
Swietenia macrophylla,VU
Trichilia blanchetii,VU
Trichilia florbranca,CR
Trichilia magnifoliola,VU
Trichilia micropetala,EN
Trichilia stellato-tomentosa,VU
Disciphania sagittaria,EN
Emmotum floribundum,VU
Metzgeria hegewaldii,EN
Microtea bahiensis,EN
Microtea papilosa,VU
Macropeplus friburgensis,CR
Mollinedia acutissima,VU
Mollinedia dolichotricha,EN
Mollinedia eugeniifolia,CR
Mollinedia glaziovii,EN
Mollinedia howeana,EN
Mollinedia jorgearum,CR
Mollinedia stenophylla,CR
Dorstenia conceptionis,EN
Dorstenia fischeri,VU
Dorstenia hildegardis,CR
Ficus bonijesulapensis,EN
Ficus carautana,EN
Ficus diamantina,EN
Ficus duartei,EN
Ficus hatschbachii,VU
Ficus holosericea,EN
Ficus latipedunculata,CR
Ficus laureola,VU
Maclura brasiliensis,EN
Sorocea carautana,EN
Sorocea longipedicellata,CR
Iryanthera campinae,VU
Iryanthera dialyandra,VU
Virola bicuhyba,EN
Virola crebrinervia,EN
Virola guggenheimii,EN
Virola malmei,VU
Virola parvifolia,VU
Virola surinamensis,VU
Virola urbaniana,VU
Accara elegans,EN
Calycolpus legrandii,VU
Campomanesia anemonea,VU
Campomanesia blanchetiana,CR
Campomanesia costata,EN
Campomanesia espiritosantensis,EN
Campomanesia hirsuta,EN
Campomanesia macrobracteolata,EN
Campomanesia sepalifolia,CR
Curitiba prismatica,VU
Eugenia altissima,EN
Eugenia amorimii,CR
Eugenia barrana,CR
Eugenia belemitana,VU
Eugenia binata,CR
Eugenia blanchetiana,EN
Eugenia blanda,EN
Eugenia botequimensis,VU
Eugenia brachysepala,VU
Eugenia bunchosiifolia,VU
Eugenia caatingicola,EN
Eugenia choriophylla,EN
Eugenia cinerascens,CR
Eugenia circumdata,CR
Eugenia corcovadensis,EN
Eugenia culicina,CR
Eugenia cymatodes,VU
Eugenia denigrata,EN
Eugenia disperma,EN
Eugenia espinhacensis,EN
Eugenia farneyi,CR
Eugenia fissurata,EN
Eugenia gastropogena,CR
Eugenia glabrescens,EN
Eugenia goiapabana,EN
Eugenia guanabarina,CR
Eugenia hatschbachii,VU
Eugenia hermesiana,CR
Eugenia inversa,EN
Eugenia ischnosceles,CR
Eugenia itacarensis,EN
Eugenia itaguahiensis,EN
Eugenia itajurensis,EN
Eugenia janeirensis,EN
Eugenia joenssonii,EN
Eugenia lacistema,EN
Eugenia lagoensis,EN
Eugenia leonorae,EN
Eugenia longifolia,EN
Eugenia longipetiolata,EN
Eugenia longohypanthiata,EN
Eugenia macahensis,EN
Eugenia macrobracteolata,EN
Eugenia malacantha,VU
Eugenia marambaiensis,CR
Eugenia mattosii,EN
Eugenia membranifolia,VU
Eugenia mollicoma,CR
Eugenia moonioides,EN
Eugenia myrciariifolia,EN
Eugenia myrobalana,EN
Eugenia neolaurifolia,EN
Eugenia neoriedeliana,CR
Eugenia neotristis,EN
Eugenia ochracea,EN
Eugenia pachyclada,EN
Eugenia pantagensis,VU
Eugenia percrenata,VU
Eugenia persicifolia,VU
Eugenia peruibensis,CR
Eugenia pithecocephala,CR
Eugenia pruinosa,EN
Eugenia pseudomalacantha,EN
Eugenia pulcherrima,VU
Eugenia regia,EN
Eugenia reitziana,EN
Eugenia rotundicosta,EN
Eugenia rugosissima,CR
Eugenia ruschiana,CR
Eugenia salacifolia,EN
Eugenia sclerocalyx,VU
Eugenia sessilifolia,CR
Eugenia sobraliana,EN
Eugenia sulcatifolia,EN
Eugenia tenuipedunculata,VU
Eugenia theodorae,CR
Eugenia tumescens,CR
Eugenia valsuganana,EN
Eugenia vattimoana,CR
Eugenia villaenovae,EN
Eugenia xanthoxyloides,VU
Myrceugenia bananalensis,CR
Myrceugenia bracteosa,EN
Myrceugenia brevipedicellata,EN
Myrceugenia foveolata,VU
Myrceugenia franciscensis,VU
Myrceugenia gertii,EN
Myrceugenia hamoniana,EN
Myrceugenia hatschbachii,EN
Myrceugenia hoehnei,VU
Myrceugenia kleinii,VU
Myrcia almasensis,EN
Myrcia amplexicaulis,EN
Myrcia carioca,VU
Myrcia congestiflora,VU
Myrcia cymatophylla,EN
Myrcia espiritosantensis,EN
Myrcia fusiformis,VU
Myrcia gilsoniana,EN
Myrcia hexasticha,EN
Myrcia lughadhae,EN
Myrcia magnifolia,EN
Myrcia martiusiana,EN
Myrcia neocambessedeana,CR
Myrcia neosericea,EN
Myrcia pendula,EN
Myrcia pileata,VU
Myrcia restingae,EN
Myrcia reticulata,EN
Myrcia riodocensis,EN
Myrcia robusta,CR
Myrcia rupicola,EN
Myrcia ruschii,EN
Myrcia skortzoviana,CR
Myrcia stictophylla,CR
Myrcia velutiflora,CR
Myrcia warmingiana,EN
Myrciaria alagoana,EN
Myrciaria evanida,EN
Myrciaria leucadendron,CR
Myrciaria plinioides,EN
Neomitranthes amblymitra,EN
Neomitranthes cordifolia,EN
Neomitranthes gracilis,EN
Neomitranthes obtusa,EN
Neomitranthes pedicellata,EN
Neomitranthes pereireana,VU
Neomitranthes stictophylla,EN
Plinia callosa,EN
Plinia cordifolia,VU
Plinia edulis,VU
Plinia espinhacensis,EN
Plinia hatschbachii,EN
Plinia longiacuminata,CR
Plinia marqueteana,EN
Plinia martinellii,EN
Plinia muricata,EN
Plinia rara,EN
Plinia renatiana,EN
Plinia rogersiana,CR (PEX)
Plinia spiciflora,EN
Plinia spiritosantensis,EN
Psidium araucanum,EN
Psidium grazielae,EN
Psidium reptans,EN
Psidium rotundidiscum,EN
Psidium sessiliflorum,EN
Siphoneugena delicata,VU
Siphoneugena kuhlmannii,VU
Siphoneugena martinellii,EN
Bougainvillea fasciculata,EN
Neea alumnorum,EN
Elvasia gigantifolia,VU
Luxemburgia angustifolia,VU
Luxemburgia corymbosa,VU
Luxemburgia flexuosa,VU
Luxemburgia glazioviana,VU
Ouratea campos-portoi,EN
Ouratea cauliflora,VU
Ouratea chrysopetala,VU
Ouratea conduplicata,EN
Ouratea grandifolia,EN
Ouratea hatschbachii,EN
Ouratea miersii,EN
Ouratea pycnostachys,EN
Ouratea robusta,EN
Ouratea xerophila,VU
Sauvagesia nitida,VU
Wallacea multiflora,EN
Dulacia egleri,EN
Dulacia gardneriana,EN
Dulacia singularis,EN
Chionanthus ferrugineus,EN
Chionanthus fluminensis,CR
Chionanthus micranthus,EN
Chionanthus parviflorus,EN
Chionanthus subsessilis,EN
Priogymnanthus saxicola,CR
Fuchsia alpestris,VU
Fuchsia glazioviana,EN
Acianthera adiri,CR
Acianthera bidentata,VU
Acianthera heringeri,CR
Acianthera langeana,EN
Acianthera papillosa,VU
Acianthera subrotundifolia,VU
Adamantinia miltonioides,CR
Anathallis colnagoi,CR
Anathallis gehrtii,VU
Anathallis pabstii,EN
Anathallis pubipetala,EN
Anathallis spannageliana,VU
Anathallis tigridens,VU
Barbosella macaheensis,VU
Barbosella trilobata,EN
Bifrenaria silvana,CR
Bifrenaria wittigii,EN
Bipinnula biplumata,CR
Bipinnula penicillata,EN
Brachionidium restrepioides,VU
Brachystele camporum,VU
Brassia arachnoidea,VU
Bulbophyllum arianeae,CR
Bulbophyllum boudetiana,EN
Bulbophyllum kautskyi,VU
Bulbophyllum macroceras,CR
Campylocentrum organense,VU
Campylocentrum pernambucense,EN
Catasetum mattosianum,EN
Cattleya aclandiae,VU
Cattleya alaorii,CR
Cattleya briegeri,EN
Cattleya caulescens,EN
Cattleya crispa,VU
Cattleya dormaniana,CR
Cattleya endsfeldzii,CR
Cattleya ghillanyi,EN
Cattleya gloedeniana,CR
Cattleya grandis,VU
Cattleya granulosa,VU
Cattleya guttata,VU
Cattleya harpophylla,VU
Cattleya harrisoniana,VU
Cattleya hoehnei,EN
Cattleya intermedia,VU
Cattleya jongheana,EN
Cattleya kautskyana,CR
Cattleya labiata,VU
Cattleya lobata,CR
Cattleya milleri,CR
Cattleya munchowiana,CR
Cattleya neokautskyi,CR
Cattleya perrinii,VU
Cattleya porphyroglossa,CR
Cattleya pumila,VU
Cattleya purpurata,VU
Cattleya pygmaea,EN
Cattleya schilleriana,EN
Cattleya sincorana,EN
Cattleya tenebrosa,EN
Cattleya tenuis,EN
Cattleya tigrina,VU
Cattleya velutina,VU
Cattleya walkeriana,VU
Cattleya warneri,VU
Cattleya wittigiana,EN
Cattleya xanthina,EN
Centroglossa castellensis,CR
Centroglossa greeniana,EN
Chloraea membranacea,EN
Cirrhaea fuscolutea,EN
Cirrhaea loddigesii,CR
Cirrhaea longiracemosa,VU
Cleistes aphylla,EN
Codonorchis canisioi,CR
Constantia cipoensis,CR
Cyclopogon dutrae,EN
Cyclopogon venustus,EN
Cycnoches pentadactylum,EN
Cyrtopodium caiapoense,VU
Cyrtopodium hatschbachii,EN
Cyrtopodium lamellaticallosum,CR
Cyrtopodium latifolium,CR
Cyrtopodium linearifolium,CR
Cyrtopodium lissochiloides,VU
Cyrtopodium palmifrons,VU
Cyrtopodium poecilum var. roseum,EN
Cyrtopodium triste,VU
Dichaea mosenii,VU
Dryadella auriculigera,CR
Dryadella lilliputiana,VU
Dryadella susanae,CR
Encyclia bragancae,EN
Epidendrum addae,VU
Epidendrum ammophilum,EN
Epidendrum harrisoniae,CR
Epidendrum henschenii,EN
Epidendrum robustum,VU
Epidendrum zappii,EN
Gomesa kautskyi,EN
Gomesa majevskyae,EN
Gomesa pectoralis,CR
Gomesa pulchella,CR
Grandiphyllum divaricatum,VU
Grandiphyllum hians,VU
Grobya cipoensis,CR
Grobya fascifera,VU
Habenaria achalensis,VU
Habenaria brachyplectron,CR
Habenaria ernesti-ulei,EN
Habenaria galeandriformis,CR
Habenaria itaculumia,CR
Habenaria novaesii,CR
Habenaria piraquarensis,EN
Houlletia brocklehurstiana,EN
Isabelia virginalis,VU
Lankesterella spannageliana,EN
Malaxis jaraguae,VU
Masdevallia discoidea,CR
Maxillaria schunkeana,EN
Miltonia kayasimae,CR
Myoxanthus ruschii,CR
Myoxanthus seidelii,CR
Notylia microchila,EN
Octomeria alexandri,EN
Octomeria chamaeleptotes,VU
Octomeria cochlearis,EN
Octomeria fimbriata,VU
Octomeria geraensis,VU
Octomeria hatschbachii,VU
Octomeria hoehnei,EN
Octomeria lichenicola,EN
Octomeria rodeiensis,EN
Octomeria rodriguesii,EN
Octomeria truncicola,VU
Octomeria wawrae,EN
Octomeria wilsoniana,CR
Pabstiella bacillaris,EN
Pabstiella calcarata,VU
Pabstiella carinifera,VU
Pabstiella castellensis,CR
Pabstiella conspersa,EN
Pabstiella curti-bradei,VU
Pabstiella dracula,VU
Pabstiella garayi,CR
Pabstiella gracilicaulis,VU
Pabstiella lingua,EN
Pabstiella ruschii,CR
Phragmipedium vittatum,VU
Phymatidium geiselii,EN
Phymatidium vogelii,VU
Polystachya rupicola,CR
Prescottia spiranthophylla,EN
Pseudolaelia brejetubensis,CR
Pseudolaelia canaanensis,VU
Pseudolaelia cipoensis,CR
Pseudolaelia citrina,EN
Pseudolaelia corcovadensis,EN
Pseudolaelia dutrae,VU
Pteroglossa hilariana,EN
Rauhiella silvana,EN
Rodriguezia sucrei,CR
Sarcoglottis alexandri,EN
Saundersia mirabilis,EN
Saundersia paniculata,VU
Scuticaria irwiniana,EN
Scuticaria itirapinensis,CR
Scuticaria kautskyi,CR
Scuticaria strictifolia,EN
Specklinia gomesferreirae,CR
Stelis palmeiraensis,VU
Stigmatosema hatschbachii,CR
Thelyschista ghillanyi,VU
Thysanoglossa jordanensis,EN
Trichocentrum schwambachiae,VU
Vanilla dietschiana,VU
Vanilla dubia,EN
Zygopetalum crinitum subsp. pabstii,EN
Zygopetalum jugosum,EN
Zygopetalum murrayanum,EN
Zygostates kuhlmannii,EN
Zygostates linearisepala,CR
Zygostates ovatipetala,EN
Agalinis bandeirensis,CR
Agalinis brachyphylla,VU
Agalinis itambensis,EN
Agalinis nana,EN
Agalinis ramulifera,EN
Agalinis schwackeana,CR
Esterhazya caesarea,VU
Magdalenaea limae,CR
Nothochilus coccineus,EN
Oxalis arachnoidea,CR
Oxalis bela-vitoriae,CR
Oxalis blackii,CR
Oxalis clausenii,CR
Oxalis diamantinae,CR
Oxalis doceana,CR
Oxalis hyalotricha,EN
Oxalis impatiens,EN
Oxalis kuhlmannii,CR
Oxalis mandioccana,VU
Oxalis paranaensis,CR
Oxalis praetexta,EN
Jensenia difformis,EN
Passiflora farneyi,VU
Passiflora hatschbachii,EN
Passiflora imbeana,EN
Passiflora ischnoclada,CR
Passiflora margaritae,EN
Passiflora setulosa,EN
Passiflora urubiciensis,EN
Freziera carinata,CR
Ternstroemia cuneifolia,EN
Pera manausensis,EN
Pera membranacea,EN
Pera pulchrifolia,CR
Amanoa sinuosa,VU
Discocarpus pedicellatus,VU
Phyllanthus biantherifer,EN
Phyllanthus gladiatus,VU
Phyllanthus itatiaiensis,CR
Phyllanthus rosmarinifolius,EN
Phyllanthus umbratus,CR
Picramnia coccinea,EN
Picramnia excelsa,VU
Picramnia grandifolia,EN
Piranhea securinega,EN
Peperomia arbuscula,CR
Peperomia cordigera,VU
Peperomia gracilis,EN
Peperomia guarujana,CR
Peperomia hemmendorffii,EN
Peperomia itatiaiana,EN
Peperomia loefgrenii,EN
Peperomia pubipeduncula,CR
Peperomia rostulatiformis,EN
Peperomia rufispica,CR
Piper amparoense,EN
Piper anostachyum,EN
Piper barretoi,EN
Piper bennettianum,VU
Piper carautensei,EN
Piper casteloense,EN
Piper duartei,VU
Piper edwallii,EN
Piper giordanoi,VU
Piper halesiifolium,CR
Piper hatschbachii,CR
Piper hoehnei,EN
Piper juliflorum,EN
Piper kuhlmannii,VU
Piper laevicarpum,EN
Piper loefgrenii,VU
Piper morisonianum,CR
Piper niteroiense,CR
Piper oblancifolium,EN
Piper piritubanum,EN
Piper rioense,EN
Piper sampaioi,CR
Piper scabrellum,EN
Piper translucens,VU
Piper trigonodrupum,EN
Plagiochila boryana,EN
Angelonia alternifolia,CR
Bacopa cochlearia,EN
Ildefonsia bibracteata,EN
Lapaea harleyi,VU
Matourea caparaoensis,CR
Matourea latifolia,CR
Plantago turficola,EN
Stemodia hyptoides,VU
Agrostis lenis,VU
Agrostis longiberbis,EN
Altoparadisium chapadense,CR
Andropogon glaucophyllus,EN
Anomochloa marantoidea,EN
Anthaenantiopsis fiebrigii,CR
Apoclada simplex,EN
Aristida brasiliensis,EN
Aristida constricta,CR
Arthropogon xerachne,CR
Arundinella deppeana,VU
Axonopus carajasensis,EN
Axonopus fastigiatus,VU
Axonopus hydrolithicus,CR
Axonopus monticola,EN
Axonopus uninodis,CR
Bothriochloa laguroides,VU
Brasilochloa sampaiana,EN
Bromidium ramboi,CR
Cambajuva ulei,EN
Canastra lanceolata,CR
Chascolytrum brasilense,EN
Chascolytrum bulbosum,CR
Chascolytrum itatiaiae,EN
Chascolytrum parodianum,CR
Chascolytrum scabrum,EN
Chusquea attenuata,EN
Chusquea baculifera,CR
Chusquea erecta,EN
Chusquea heterophylla,EN
Chusquea pulchella,EN
Chusquea tenuiglumis,CR
Colanthelia macrostachya,EN
Danthonia cirrata,EN
Deschampsia cespitosa,EN
Diandrolyra tatianae,EN
Dichanthelium cucaense,EN
Digitaria neesiana,EN
Glaziophyton mirabile,EN
Gymnopogon doellii,CR
Leersia ligularis,VU
Lithachne horizontalis,EN
Luziola brasiliensis,VU
Melica arzivencoi,EN
Merostachys abadiana,CR
Merostachys burmanii,EN
Merostachys caucaiana,CR
Merostachys scandens,CR
Ocellochloa brachystachya,CR
Olyra latispicula,CR
Parianella carvalhoi,CR
Paspalum biaristatum,EN
Paspalum longiaristatum,EN
Paspalum niquelandiae,EN
Paspalum rawitscheri,EN
Paspalum repandum,EN
Piptochaetium alpinum,EN
Piptochaetium palustre,CR
Poa bradei,EN
Poa reitzii,EN
Raddia angustifolia,CR
Raddia distichophylla,EN
Reitzia smithii,VU
Schizachyrium scabriflorum,EN
Setaria parviflora var. pilosissima,CR
Setaria stolonifera,CR
Sporobolus apiculatus,EN
Sucrea maculata,EN
Triraphis devia,EN
Zizaniopsis bonariensis,EN
Podocarpus barretoi,CR
Podocarpus brasiliensis,EN
Mourera weddelliana,VU
Podostemum ovatum,EN
Podostemum rutifolium,VU
Podostemum saldanhanum,EN
Acanthocladus santosii,EN
Polygala franchetii,EN
Polygala revoluta,EN
Polygala selaginoides,EN
Polygala stephaniana,EN
Polygala tamariscea,VU
Coccoloba bullata,VU
Coccoloba fastigiata,EN
Coccoloba gigantifolia,EN
Coccoloba rigida,EN
Ruprechtia crenata,CR
Ruprechtia glauca,VU
Ruprechtia latifunda,EN
Triplaris physocalyx,EN
Alansmia senilis,CR
Ceradenia capillaris,VU
Ceradenia glaziovii,EN
Ceradenia warmingii,CR
Grammitis fluminensis,EN
Lellingeria brasiliensis,VU
Lellingeria itatimensis,CR
Lellingeria tamandarei,EN
Moranopteris perpusilla,EN
Mycopteris semihirsuta,EN
Mycopteris taxifolia,EN
Pecluma hoehnei,CR
Pecluma insularis,CR
Pleopeltis alborufula,EN
Pleopeltis monoides,EN
Pleopeltis trindadensis,CR
Stenogrammitis limula,CR
Stenogrammitis pumila,CR
Portulaca hatschbachii,EN
Leptodontium wallisii,VU
Cybianthus boissieri,VU
Cybianthus gracillimus,CR
Lysimachia barbata,EN
Lysimachia buxifolia,EN
Myrsine congesta,EN
Myrsine glazioviana,EN
Myrsine villosissima,EN
Stylogyne leptantha,EN
Stylogyne sordida,CR
Euplassa cantareirae,EN
Euplassa hoehnei,EN
Euplassa nebularis,EN
Euplassa rufa,VU
Euplassa semicostata,EN
Panopsis multiflora,EN
Roupala asplenioides,EN
Roupala caparoensis,EN
Roupala gracilis,EN
Roupala longepetiolata,VU
Roupala pallida,EN
Roupala sculpta,EN
Adiantum diphyllum,CR
Adiantum discolor,EN
Adiantum mynsseniae,EN
Adiantum papillosum,EN
Adiantum tetragonum,EN
Cheilanthes incisa,EN
Cheilanthes juergensii,EN
Cheilanthes regnelliana,EN
Doryopteris rediviva,VU
Doryopteris trilobata,EN
Jamesonia biardii,EN
Jamesonia brasiliensis,EN
Jamesonia cheilanthoides,EN
Jamesonia insignis,EN
Jamesonia rufescens,CR
Lytoneuron itatiaiense,EN
Lytoneuron paradoxum,VU
Lytoneuron rosenstockii,EN
Lytoneuron rufum,EN
Lytoneuron subsimplex,EN
Lytoneuron tijucanum,EN
Ormopteris cymbiformis,EN
Ormopteris gleichenioides,EN
Pteris congesta,EN
Pteris limae,CR
Lacunaria sampaioi,EN
Colletia exserta,EN
Colletia paradoxa,EN
Discaria americana,VU
Gouania corylifolia,VU
Gouania inornata,EN
Rhamnidium glabrum,VU
Sarcomphalus glaziovii,EN
Scutia arenicola,EN
Riccia ridleyi,CR
Alibertia curviflora,EN
Alibertia duckei,EN
Alseis involuta,VU
Alseis sertaneja,EN
Appunia aurantiaca,EN
Bathysa sylvestrae,EN
Bradea anomala,EN
Bradea bicornuta,CR
Bradea borrerioides,EN
Bradea brasiliensis,EN
Bradea montana,CR
Calycophyllum papillosum,EN
Carapichea ipecacuanha,VU
Chiococca insularis,CR
Chomelia estrellana,EN
Chomelia polyantha,EN
Chomelia sericea,EN
Chomelia tristis,EN
Cordiera hadrantha,EN
Coussarea accedens,VU
Coussarea ampla,VU
Coussarea andrei,EN
Coussarea bocainae,EN
Coussarea coffeoides,EN
Coussarea friburgensis,EN
Coussarea machadoana,EN
Coussarea megistophylla,EN
Coussarea strigosipes,EN
Coussarea viridis,EN
Duroia valesca,VU
Faramea atlantica,VU
Faramea bahiensis,VU
Faramea bicolor,VU
Faramea brachyloba,EN
Faramea calyciflora,CR
Faramea campanularis,EN
Faramea filamentosa,EN
Faramea includens,VU
Faramea intercedens,CR
Faramea leucocalyx,EN
Faramea paratiensis,EN
Faramea tinguana,CR
Ferdinandusa hirsuta,EN
Galianthe elegans,VU
Galianthe polygonoides,EN
Galianthe souzae,CR
Galianthe vaginata,EN
Galium diphyllum,CR
Galium rubidiflorum,CR
Galium shepherdii,CR
Guettarda blanchetiana,VU
Guettarda divaricata,EN
Guettarda grazielae,EN
Hindsia glabra,CR
Hindsia ibitipocensis,CR
Ixora bahiensis,EN
Ixora heterophylla,EN
Ixora pilosostyla,EN
Kerianthera longiflora,VU
Kerianthera preclara,EN
Manettia campanulacea,CR
Manettia pauciflora,EN
Manettia pedunculata,VU
Melanopsidium nigrum,VU
Mitracarpus anthospermoides,EN
Mitracarpus eritrichoides,EN
Mitracarpus rigidifolius,VU
Pagamea harleyi Steyerm.,VU
Palicourea fulgens,VU
Parachimarrhis breviloba,EN
Posoqueria bahiensis,VU
Posoqueria palustris,EN
Psychotria caudata,VU
Psychotria clavipes,EN
Psychotria fluminensis,VU
Psychotria formosa,VU
Psychotria glaziovii,VU
Psychotria loefgrenii,EN
Psychotria microcarpa,EN
Psychotria paludosa,EN
Psychotria subspathacea,VU
Psychotria tenuinervis,EN
Psychotria ulei,EN
Randia hebecarpa,EN
Randia itatiaiae,CR
Remijia asperula,VU
Retiniphyllum chloranthum,VU
Retiniphyllum pilosum,EN
Richardia schumannii,EN
Riodocea pulcherrima,EN
Rudgea amazonica,VU
Rudgea bracteata,EN
Rudgea coronata subsp. saint-hilairei,CR
Rudgea corymbulosa,EN
Rudgea erythrocarpa,EN
Rudgea hileiabaiana,EN
Rudgea insignis,VU
Rudgea jasminoides subsp. nervosa,VU
Rudgea mouririoides,EN
Rudgea nobilis,EN
Rudgea obtusa,VU
Rudgea pachyphylla,CR
Rudgea palicoureoides,VU
Rudgea parquioides subsp. caprifolium,CR
Rudgea parquioides subsp. hirsutissima,EN
Rudgea parvifolia,CR
Rudgea sessilis subsp. cipoana,EN
Rudgea vellerea,VU
Rustia angustifolia,EN
Rustia gracilis,EN
Rustia simpsonii,EN
Salzmannia arborea,VU
Simira eliezeriana,EN
Simira grazielae,CR
Simira hatschbachiorum,EN
Simira hexandra,EN
Simira paraensis,VU
Simira walteri,EN
Staelia hatschbachii,EN
Standleya erecta,CR
Standleya kuhlmanni,EN
Standleya limae,CR
Warszewiczia longistaminea,EN
Andreadoxa flava,CR
Angostura quinquefolia,VU
Conchocarpus adenantherus,EN
Conchocarpus albiflorus,EN
Conchocarpus bellus,CR
Conchocarpus cauliflorus,CR
Conchocarpus coeruleus,EN
Conchocarpus furcatus,CR
Conchocarpus grandiflorus,EN
Conchocarpus hamadryadicus,VU
Conchocarpus macrocarpus,EN
Conchocarpus marginatus,CR
Conchocarpus minutiflorus,CR
Conchocarpus ovatus,VU
Conchocarpus santosii,CR
Conchocarpus sordidus,CR
Esenbeckia irwiniana,EN
Esenbeckia oligantha,EN
Euxylophora paraensis,EN
Galipea carinata,CR
Galipea revoluta,EN
Hortia superba,VU
Metrodorea maracasana,VU
Neoraputia calliantha,EN
Pilocarpus alatus,EN
Pilocarpus carajaensis,EN
Pilocarpus grandiflorus,VU
Pilocarpus jaborandi,EN
Pilocarpus microphyllus,VU
Pilocarpus sulcatus,EN
Pilocarpus trachylophus,EN
Raulinoa echinata,VU
Spiranthera speciosa,CR
Ticorea froesii,VU
Zanthoxylum retusum,EN
Zanthoxylum unifoliolatum,EN
Meliosma chartacea,VU
Meliosma itatiaiae,VU
Abatia angeliana,VU
Abatia microphylla,EN
Banara trinitatis,CR
Casearia catharinensis,EN
Casearia murceana,VU
Xylosma glaberrima,VU
Acanthosyris paulo-alvinii,CR
Alatococcus siqueirae,EN
Allophylus heterophyllus,VU
Cupania crassifolia,EN
Cupania fluminensis,EN
Cupania moraesiana,CR
Cupania radlkoferi,CR
Cupania schizoneura,CR
