"threat.status.cnc","search.str"
"LC","Epidendrum caldense"
"LC","Epidendrum carpophorum"
"DD","Epidendrum cauliflorum"
"LC","Epidendrum chlorinum"
"LC","Epidendrum coronatum"
"LC","Epidendrum cristatum"
"LC","Epidendrum dendrobioides"
"LC","Epidendrum filicaule"
"EN","Epidendrum henschenii"
"DD","Epidendrum kautskyi"
"LC","Epidendrum macrocarpum"
"LC","Epidendrum martianum"
"VU","Epidendrum parahybunense"
"LC","Epidendrum paranaense"
"LC","Epidendrum proligerum"
"VU","Epidendrum robustum"
"LC","Epidendrum saxatile"
"LC","Epidendrum tridactylum"
"LC","Epidendrum vesicatum"
"EN","Epidendrum zappii"
"LC","Epiphyllum phyllanthus"
"VU","Eplingiella cuniloides"
"LC","Eragrostis neesii"
"EN","Eremanthus argenteus"
"LC","Eremanthus capitatus"
"LC","Eremanthus crotonoides"
"VU","Eremanthus elaeagnus"
"CR","Eremanthus ovatifolius"
"VU","Eremanthus polycephalus"
"VU","Eremanthus praetermissus"
"EN","Eremanthus reticulatus"
"EN","Eremanthus syncephalus"
"EN","Eriocaulon burchellii"
"DD","Eriocaulon griseum"
"DD","Eriocaulon melanolepis"
"DD","Eriocaulon papillosum"
"LC","Eriochrysis filiformis"
"EN","Eriope anamariae"
"CR","Eriope angustifolia"
"VU","Eriope blanchetii"
"EN","Eriope confusa"
"LC","Eriope crassipes"
"CR","Eriope cristalinae"
"EN","Eriope filifolia"
"VU","Eriope luetzelburgii"
"EN","Eriope machrisae"
"LC","Eriope macrostachya"
"VU","Eriope montana"
"EN","Eriope obovata var. gracilis"
"NT","Eriope sincorana"
"DD","Eriope xavantium"
"DD","Eriosema glaziovii"
"DD","Eriosema platycarpon"
"LC","Eriotheca pubescens"
"EN","Erisma arietinum"
"LC","Erycina pusilla"
"CR","Eryngium corallinum"
"EN","Eryngium divaricatum"
"CR","Eryngium dorae"
"DD","Eryngium dusenii"
"LC","Eryngium ekmanii"
"LC","Eryngium eriophorum"
"NT","Eryngium eurycephalum"
"EN","Eryngium falcifolium"
"DD","Eryngium glaziovianum"
"VU","Eryngium koehneanum"
"EN","Eryngium ombrophilum"
"CR","Eryngium ramboanum"
"LC","Eryngium sanguisorba"
"EN","Eryngium scirpinum"
"EN","Eryngium smithii"
"DD","Eryngium stenophyllum"
"EN","Eryngium urbanianum"
"VU","Eryngium zosterifolium"
"LC","Erythroxylum ambiguum"
"LC","Erythroxylum anguifugum"
"EN","Erythroxylum bezerrae"
"EN","Erythroxylum catharinense"
"LC","Erythroxylum coelophlebium"
"EN","Erythroxylum compressum"
"NT","Erythroxylum distortum"
"CR","Erythroxylum leal-costae"
"NT","Erythroxylum maracasense"
"EN","Erythroxylum mattos-silvae"
"EN","Erythroxylum membranaceum"
"LC","Erythroxylum myrsinites"
"EN","Erythroxylum nelson-rosae"
"LC","Erythroxylum passerinum"
"EN","Erythroxylum pauferrense"
"LC","Erythroxylum pelleterianum"
"VU","Erythroxylum petrae-caballi"
"LC","Erythroxylum pulchrum"
"CR","Erythroxylum tianguanum"
"LC","Escallonia chlorophylla"
"LC","Escallonia farinacea"
"VU","Escallonia obtusissima"
"EN","Escallonia petrophila"
"EN","Eschweilera alvimii"
"DD","Eschweilera amazoniciformis"
"LC","Eschweilera atropetiolata"
"LC","Eschweilera carinata"
"EN","Eschweilera compressa"
"LC","Eschweilera cyathiformis"
"LC","Eschweilera obversa"
"LC","Eschweilera piresii"
"LC","Eschweilera punctata"
"DD","Eschweilera rabeliana"
"LC","Eschweilera rhododendrifolia"
"LC","Eschweilera rionegrense"
"LC","Eschweilera roraimensis"
"EN","Eschweilera subcordata"
"EN","Eschweilera tetrapetala"
"LC","Eschweilera truncata"
"LC","Escobedia grandiflora"
"NT","Esenbeckia hieronymi"
"EN","Esenbeckia irwiniana"
"LC","Esenbeckia leiocarpa"
"LC","Esenbeckia pilocarpoides"
"EN","Espostoopsis dybowskii"
"VU","Esterhazya caesarea"
"EN","Esterhazya nanuzae"
"LC","Eubrachion ambiguum"
"LC","Eugenia angustissima"
"LC","Eugenia anomala"
"LC","Eugenia arenosa"
"LC","Eugenia aurata"
"LC","Eugenia bahiensis"
"EN","Eugenia blanda"
"LC","Eugenia brasiliensis"
"LC","Eugenia burkartiana"
"LC","Eugenia cerasiflora"
"LC","Eugenia cereja"
"LC","Eugenia copacabanensis"
"NT","Eugenia dimorpha"
"VU","Eugenia disperma"
"LC","Eugenia excelsa"
"LC","Eugenia florida"
"LC","Eugenia gracillima"
"EN","Eugenia guanabarina"
"LC","Eugenia hamiltonii"
"CR","Eugenia hermesiana"
"LC","Eugenia hiemalis"
"EN","Eugenia itacarensis"
"VU","Eugenia joenssonii"
"LC","Eugenia klotzschiana"
"EN","Eugenia leonorae"
"EN","Eugenia macrobracteolata"
"EN","Eugenia malacantha"
"EN","Eugenia mattosii"
"EN","Eugenia myrciariifolia"
"EN","Eugenia neotristis"
"LC","Eugenia nutans"
"EN","Eugenia pachyclada"
"EN","Eugenia peruibensis"
"LC","Eugenia pisiformis"
"LC","Eugenia platysema"
"LC","Eugenia pluriflora"
"LC","Eugenia prasina"
"EN","Eugenia pruinosa"
"EN","Eugenia pseudomalacantha"
"LC","Eugenia puberula"
"EN","Eugenia reitziana"
"EN","Eugenia repanda"
"CR","Eugenia rotundicosta"
"VU","Eugenia sclerocalyx"
"LC","Eugenia subterminalis"
"VU","Eugenia vattimoana"
"EN","Eugenia villaenovae"
"DD","Eupatorium lineatum"
"EN","Euphorbia appariciana"
"EN","Euphorbia attastoma"
"EN","Euphorbia crossadenia"
"VU","Euphorbia gymnoclada"
"CR","Euphorbia holochlorina"
"EN","Euplassa cantareirae"
"VU","Euplassa incana"
"EN","Euplassa nebularis"
"EN","Euplassa semicostata"
"LC","Euploca salicoides"
"LC","Eurystyles lorenzii"
"VU","Euterpe edulis"
"CR","Euxylophora paraensis"
"LC","Evolvulus aurigenius"
"DD","Evolvulus barbatus"
"EN","Evolvulus chapadensis"
"EN","Evolvulus chrysotrichos"
"NT","Evolvulus cressoides"
"LC","Evolvulus ericifolius"
"LC","Evolvulus filipes"
"NT","Evolvulus fuscus"
"VU","Evolvulus glaziovii"
"EN","Evolvulus gnaphalioides"
"VU","Evolvulus kramerioides"
"VU","Evolvulus rariflorus"
"EN","Evolvulus riedelii"
"EN","Evolvulus stellariifolius"
"LC","Exellodendron gardneri"
"EN","Exellodendron gracile"
"EN","Facheiroa cephaliomelana"
"EN","Facheiroa cephaliomelana subsp. estevesii"
"EN","Facheiroa ulei"
"VU","Faramea bahiensis"
"NT","Faramea coerulea"
"LC","Faramea monantha"
"EN","Faramea paratiensis"
"CR","Fernseea bocainensis"
"EN","Fernseea itatiaiae"
"LC","Ficus albert-smithii"
"LC","Ficus amazonica"
"DD","Ficus blepharophylla"
"LC","Ficus broadwayi"
"LC","Ficus calyptroceras"
"EN","Ficus carautana"
"LC","Ficus castellviana"
"LC","Ficus catappifolia"
"VU","Ficus cyclophylla"
"DD","Ficus donnell-smithii"
"LC","Ficus eximia"
"NT","Ficus greiffiana"
"LC","Ficus krukovii"
"LC","Ficus lauretana"
"LC","Ficus luschnathiana"
"DD","Ficus malacocarpa"
"LC","Ficus mathewsii"
"LC","Ficus matiziana"
"LC","Ficus mexiae"
"LC","Ficus pakkensis"
"DD","Ficus pallida"
"LC","Ficus pulchella"
"DD","Ficus roraimensis"
"DD","Ficus schippii"
"DD","Ficus schultesii"
"NT","Ficus sphenophylla"
"DD","Ficus ursina"
"DD","Filgueirasia cannavieira"
"LC","Fissidens elegans"
"LC","Fleischmannia remotifolia"
"DD","Forzzaea leopoldo-horstii"
"EN","Frailea buenekeri"
"EN","Frailea castanea"
"DD","Frailea curvispina"
"NT","Frailea gracillima"
"CR","Frailea mammifera"
"EN","Frailea phaeodisca"
"VU","Frailea pumila"
"VU","Frailea pygmaea"
"DD","Frailea schilinzkyana"
"LC","Frangula polymorpha"
"LC","Fridericia caudigera"
"VU","Fridericia crassa"
"NT","Fridericia elegans"
"LC","Fridericia pubescens"
"DD","Fritzschia anisostemon"
"EN","Fritzschia edmundoi"
"DD","Fritzschia integrifolia"
"DD","Froelichia interrupta"
"DD","Froelichia procera"
"EN","Froelichiella grisea"
"LC","Frullania beyrichiana"
"LC","Fuchsia regia"
"LC","Fuscocephaloziopsis crassifolia"
"LC","Galactia benthamiana"
"LC","Galactia glaucescens"
"LC","Galactia neesii"
"LC","Galactia striata"
"LC","Galeandra beyrichii"
"LC","Galeandra cristata"
"NT","Galeandra paraguayensis"
"LC","Galeandra styllomisantha"
"LC","Galeottia ciliata"
"NT","Galianthe cymosa"
"VU","Galianthe elegans"
"EN","Galianthe macedoi"
"DD","Galianthe matogrossiana"
"LC","Galianthe peruviana"
"NT","Galianthe pseudopeciolata"
"EN","Galianthe souzae"
"EN","Galianthe vaginata"
"CR","Galipea carinata"
"CR","Galium diphyllum"
"LC","Galium equisetoides"
"LC","Galium humile"
"LC","Galium nigroramosum"
"CR","Galium rubidiflorum"
"CR","Galium shepherdii"
"DD","Gardnerina angustata"
"CR","Gaultheria sleumeriana"
"LC","Gaya domingensis"
"LC","Gaya guerkeana"
"LC","Gaya pilosa"
"EN","Gaylussacia angulata"
"EN","Gaylussacia caparoensis"
"EN","Gaylussacia centunculifolia"
"NT","Gaylussacia decipiens"
"VU","Gaylussacia harleyi"
"LC","Gaylussacia montana"
"EN","Gaylussacia oleifolia"
"CR","Gaylussacia pruinosa"
"CR","Gaylussacia retivenia"
"NT","Gaylussacia retusa"
"LC","Gaylussacia rhododendron"
"CR","Gaylussacia setosa"
"NT","Gaylussacia vitis-idaea"
"NT","Gelasine coerulea"
"LC","Genipa americana"
"LC","Genipa infundibuliformis"
"LC","Genlisea aurea"
"LC","Genlisea filiformis"
"EN","Genlisea lobata"
"LC","Genlisea repens"
"LC","Genlisea violacea"
"LC","Geonoma gamiova"
"LC","Geonoma schottiana"
"EN","Glaziophyton mirabile"
"VU","Gleditsia amorphoides"
"LC","Glinus radiatus"
"LC","Godmania dardanoi"
"NT","Goeppertia aemula"
"LC","Goeppertia brasiliensis"
"LC","Goeppertia cylindrica"
"DD","Goeppertia fatimae"
"DD","Goeppertia kegeljani"
"LC","Goeppertia longibracteata"
"LC","Goeppertia monophylla"
"LC","Goeppertia sciuroides"
"DD","Goeppertia singularis"
"EN","Goeppertia tuberosa"
"EN","Goeppertia widgrenii"
"DD","Goeppertia wiotiana"
"LC","Goeppertia zebrina"
"LC","Gomesa barbaceniae"
"LC","Gomesa barbata"
"LC","Gomesa bicornuta"
"LC","Gomesa concolor"
"LC","Gomesa cornigera"
"CR","Gomesa cuneata"
"VU","Gomesa florida"
"LC","Gomesa gardneri"
"LC","Gomesa glaziovii"
"LC","Gomesa gomezoides"
"LC","Gomesa hydrophila"
"LC","Gomesa imperatoris-maximiliani"
"EN","Gomesa kautskyi"
"DD","Gomesa laxiflora"
"LC","Gomesa lietzei"
"EN","Gomesa majevskyae"
"LC","Gomesa pubes"
"LC","Gomesa radicans"
"LC","Gomesa ramosa"
"NT","Gomesa sarcodes"
"LC","Gomesa varicosa"
"LC","Gomesa venusta"
"LC","Gomesa warmingii"
"LC","Gomphrena agrestis"
"EN","Gomphrena centrota"
"NT","Gomphrena chrestoides"
"DD","Gomphrena duriuscula"
"LC","Gomphrena elegans"
"LC","Gomphrena graminea"
"EN","Gomphrena hatschbachiana"
"VU","Gomphrena hermogenesii"
"EN","Gomphrena hillii"
"LC","Gomphrena macrocephala"
"EN","Gomphrena marginata"
"CR","Gomphrena nigricans"
"VU","Gomphrena paranensis"
"LC","Gomphrena perennis"
"EN","Gomphrena pulchella"
"VU","Gomphrena regeliana"
"NT","Gomphrena scandens"
"DD","Gomphrena schlechtendaliana"
"DD","Gomphrena sellowiana"
"LC","Gomphrena vaga"
"LC","Gongora bufonia"
"LC","Gongora quinquenervis"
"EN","Gongylanthus liebmannianus"
"EN","Goniopteris cutiataensis"
"EN","Goniopteris littoralis"
"VU","Goniopteris montana"
"CR","Goniopteris multigemmifera"
"CR","Gonolobus dorothyanus"
"LC","Gonolobus parviflorus"
"LC","Gouania blanchetiana"
"VU","Gouania corylifolia"
"EN","Gouania inornata"
"LC","Gouania ulmifolia"
"LC","Govenia utriculata"
"EN","Goyazia petraea"
"EN","Grammitis fluminensis"
"VU","Grandiphyllum divaricatum"
"VU","Grandiphyllum hians"
"LC","Grazielia schultzii"
"NT","Grazielodendron rio-docensis"
"CR","Griffinia aracensis"
"CR","Griffinia colatinensis"
"EN","Griffinia espiritensis"
"EN","Griffinia gardneriana"
"EN","Griffinia hyacinthina"
"EN","Griffinia liboniana"
"CR","Griffinia nocturna"
"CR","Griffinia parviflora"
"CR","Griffinia paubrasilica"
"DD","Griffinia rochae"
"NT","Griselinia ruscifolia"
"CR","Grobya cipoensis"
"VU","Grobya fascifera"
"CR","Guadua magna"
"LC","Guapira hirsuta"
"LC","Guapira nitida"
"LC","Guapira obtusata"
"LC","Guarea convergens"
"DD","Guarea crispa"
"DD","Guarea cristata"
"LC","Guarea humaitensis"
"LC","Guarea juglandiformis"
"DD","Guarea sprucei"
"LC","Guarea trunciflora"
"LC","Guarea velutina"
"LC","Guarea venenata"
"LC","Guatteria australis"
"LC","Guatteria campestris"
"NT","Guatteria notabilis"
"NT","Guatteria pohliana"
"NT","Guatteria rupestris"
"LC","Guatteria sellowiana"
"LC","Guatteria villosissima"
"CR","Guettarda paludosa"
"DD","Guettarda platyphylla"
"EN","Gunnera herteri"
"NT","Gunnera manicata"
"LC","Gustavia acuminata"
"DD","Gustavia erythrocarpa"
"DD","Gustavia longepetiolata"
"VU","Guzmania monostachia"
"EN","Guzmania sanguinea"
"EN","Gymnocalycium denudatum"
"DD","Gymnocalycium horstii"
"DD","Gymnocalycium horstii subsp. buenekeri"
"LC","Gymnopogon burchellii"
"CR","Gymnopogon doellii"
"EN","Gyptis lanigera"
"EN","Gyrostelma bornmuelleri"
"EN","Gyrostelma oxypetaloides"
"VU","Habenaria achalensis"
"LC","Habenaria armata"
"CR","Habenaria brachyplectron"
"DD","Habenaria crucifera"
"LC","Habenaria culicina"
"EN","Habenaria ernesti-ulei"
"LC","Habenaria exaltata"
"CR","Habenaria galeandriformis"
"LC","Habenaria gourlieana"
"LC","Habenaria hexaptera"
"DD","Habenaria hydrophila"
"CR","Habenaria itaculumia"
"DD","Habenaria jordanensis"
"LC","Habenaria leucosantha"
"LC","Habenaria macronectar"
"CR","Habenaria novaesii"
"LC","Habenaria nuda"
"EN","Habenaria piraquarensis"
"LC","Habenaria regnellii"
"LC","Habenaria rodeiensis"
"DD","Habenaria santensis"
"LC","Habenaria schwackei"
"LC","Habenaria trifida"
"LC","Habenaria umbraticola"
"VU","Hadrolaelia grandis"
"DD","Halodule emarginata"
"LC","Halodule wrightii"
"LC","Handroanthus albus"
"EN","Handroanthus arianeae"
"NT","Handroanthus botelhensis"
"LC","Handroanthus catarinensis"
"NT","Handroanthus cristatus"
"LC","Handroanthus heptaphyllus"
"NT","Handroanthus impetiginosus"
"EN","Handroanthus riodocensis"
"NT","Handroanthus selachidentatus"
"EN","Handroanthus spongiosus"
"LC","Hapalorchis lineatus"
"EN","Harpalyce lanata"
"EN","Harpalyce parvifolia"
"DD","Hatiora cylindrica"
"VU","Hatiora herminiae"
"NT","Hatschbachiella polyclada"
"LC","Hatschbachiella tweedieana"
"LC","Hebanthe pulverulenta"
"EN","Heladena multiflora"
"LC","Helanthium bolivianum"
"LC","Heliconia angusta"
"LC","Heliconia episcopalis"
"LC","Heliconia farinosa"
"LC","Heliconia richardiana"
"DD","Helicostylis heterotricha"
"LC","Helicostylis tomentosa"
"LC","Helosis cayennensis"
"CR","Hemipogon abietoides"
"CR","Hemipogon hatschbachii"
"LC","Hemipogon irwinii"
"DD","Henriettea saldanhae"
"DD","Herbstia brasiliana"
"LC","Herissantia nemoralis"
"NT","Herpetacanthus longiflorus"
"LC","Heteranthera limosa"
"LC","Heteranthera rotundifolia"
"LC","Heteranthera zosterifolia"
"CR","Heterocoma albida"
"LC","Heterocondylus amphidyctius"
"VU","Heterocondylus lysimachioides"
"LC","Heterocondylus pumilus"
"VU","Heteropsis flexuosa"
"NT","Heteropsis spruceana"
"EN","Heteropterys admirabilis"
"CR","Heteropterys aliciae"
"LC","Heteropterys alternifolia"
"CR","Heteropterys bahiensis"
"LC","Heteropterys bicolor"
"EN","Heteropterys brasiliensis"
"EN","Heteropterys bullata"
"EN","Heteropterys capixaba"
"CR","Heteropterys conformis"
"VU","Heteropterys crinigera"
"VU","Heteropterys dusenii"
"EN","Heteropterys fragilis"
"CR","Heteropterys hatschbachii"
"EN","Heteropterys marginata"
"EN","Heteropterys megaptera"
"VU","Heteropterys oberdanii"
"CR","Heteropterys occhionii"
"NT","Heteropterys patens"
"LC","Heteropterys pauciflora"
"LC","Heteropterys perplexa"
"CR","Heteropterys sanctorum"
"EN","Heteropterys ternstroemiifolia"
"EN","Heteropterys thyrsoidea"
"LC","Heteropterys trigoniifolia"
"LC","Hexasepalum sarmentosum"
"LC","Hibiscus bifurcatus"
"LC","Hibiscus diversifolius"
"LC","Hibiscus furcellatus"
"LC","Hibiscus sororius"
"LC","Hillia parasitica"
"LC","Hillia ulei"
"EN","Hindsia glabra"
"CR","Hindsia ibitipocensis"
"DD","Hindsia violacea"
"VU","Hippeastrum angustifolium"
"EN","Hippeastrum brasilianum"
"EN","Hippeastrum breviflorum"
"CR","Hippeastrum leucobasis"
"VU","Hippeastrum morelianum"
"CR","Hippeastrum papilio"
"EN","Hippeastrum psittacinum"
"EN","Hippeastrum reginae"
"EN","Hippeastrum santacatarina"
"EN","Hippeastrum stapfianum"
"EN","Hippeastrum striatum"
"VU","Hiraea bullata"
"LC","Hiraea cuiabensis"
"LC","Hiraea cuneata"
"EN","Hiraea macrophylla"
"EN","Hirtella insignis"
"EN","Hirtella juruensis"
"CR","Hirtella parviunguis"
"LC","Hirtella racemosa"
"EN","Hirtella santosii"
"EN","Hochreutinera hasslerana"
"EN","Hoehnephytum almasense"
"LC","Hoehnephytum trixoides"
"LC","Hohenbergia augusta"
"NT","Hohenbergia belemii"
"EN","Hohenbergia castellanosii"
"CR","Hohenbergia correia-araujoi"
"EN","Hohenbergia littoralis"
"EN","Holocheilus hieracioides"
"EN","Holocheilus monocephalus"
"LC","Holocheilus pinnatifidus"
"LC","Hololepis pedunculata"
"LC","Homalolepis floribunda"
"VU","Homalolepis glabra"
"EN","Homalolepis insignis"
"CR","Homalolepis salubris"
"CR","Homalolepis suaveolens"
"EN","Homalolepis warmingiana"
"DD","Homalopetalum hypoleptum"
"CR","Hoplocryptanthus caracensis"
"CR","Hoplocryptanthus glaziovii"
"CR","Hornschuchia alba"
"EN","Hornschuchia cauliflora"
"EN","Hornschuchia obliqua"
"NT","Hortia brasiliana"
"EN","Houlletia brocklehurstiana"
"NT","Huberia bradeana"
"EN","Huberia carvalhoi"
"VU","Huberia espiritosantensis"
"DD","Huberia laurina"
"NT","Huberia nettoana"
"EN","Huberia piranii"
"LC","Huberia semiserrata"
"CR","Humiriastrum spiritu-sancti"
"LC","Huntleya meleagris"
"DD","Huperzia catharinae"
"CR","Hybanthus albus"
"DD","Hydrocotyle exigua"
"EN","Hydrocotyle langsdorffii"
"LC","Hydrocotyle pusilla"
"LC","Hymenachne condensata"
"LC","Hymenachne donacifolia"
"LC","Hymenachne pernambucensis"
"LC","Hymenaea courbaril"
"LC","Hymenaea martiana"
"VU","Hymenaea parvifolia"
"VU","Hymenolobium excelsum"
"LC","Hymenolobium janeirense"
"CR","Hymenophyllum crispum"
"CR","Hymenophyllum elegans"
"LC","Hymenophyllum fragile"
"LC","Hymenophyllum magellanicum"
"LC","Hymenophyllum rufum"
"CR","Hymenopus conferruminatus"
"CR","Hypenia aristulata"
"DD","Hypenia concinna"
"EN","Hypenia crispata"
"EN","Hypenia micrantha"
"EN","Hypenia paradisi"
"NT","Hypenia simplex"
"EN","Hypenia subrosea"
"LC","Hypericum caprifoliatum"
"NT","Hypericum carinatum"
"VU","Hypericum mutilum"
"NT","Hypericum piriai"
"LC","Hypericum rigidum"
"CR","Hypolytrum amorimii"
"EN","Hypolytrum bahiense"
"VU","Hypolytrum lucennoi"
"EN","Hypolytrum paraense"
"LC","Hyptidendron amethystoides"
"LC","Hyptidendron asperrimum"
"EN","Hyptidendron claussenii"
"EN","Hyptidendron conspersum"
"EN","Hyptidendron dictiocalyx"
"EN","Hyptis alpestris"
"EN","Hyptis angustifolia"
"VU","Hyptis arenaria"
"DD","Hyptis asteroides"
"EN","Hyptis bahiensis"
"DD","Hyptis caduca"
"EN","Hyptis colligata"
"EN","Hyptis cruciformis"
"VU","Hyptis dictyodea"
"LC","Hyptis fallax"
"VU","Hyptis frondosa"
"VU","Hyptis hamatidens"
"DD","Hyptis heterophylla"
"EN","Hyptis humilis"
"EN","Hyptis imbricatiformis"
"LC","Hyptis lagenaria"
"DD","Hyptis loeseneriana"
"LC","Hyptis lutescens"
"VU","Hyptis pachyphylla"
"LC","Hyptis paludosa"
"EN","Hyptis penaeoides"
"EN","Hyptis rhypidiophylla"
"DD","Hyptis tetracephala"
"DD","Hyptis tricephala"
"EN","Hysterionica pinnatiloba"
"CR","Hysterionica pinnatisecta"
"CR","Ianthopappus corymbosus"
"LC","Ichnanthus bambusiflorus"
"LC","Ichthyothere connata"
"EN","Ichthyothere elliptica"
"LC","Ichthyothere integrifolia"
"DD","Ichthyothere mattogrossensis"
"DD","Ichthyothere petiolata"
"LC","Idiothamnus pseudorgyalis"
"CR","Ildefonsia bibracteata"
"CR","Ilex auricula"
"LC","Ilex chamaedryfolia"
"VU","Ilex loranthoides"
"EN","Ilex mucugensis"
"LC","Ilex neblinensis"
"LC","Ilex paraguariensis"
"CR","Ilex prostrata"
"LC","Indigofera bongardiana"
"LC","Indigofera guaranitica"
"VU","Inga aptera"
"EN","Inga arenicola"
"LC","Inga bicoloriflora"
"LC","Inga blanchetiana"
"DD","Inga bollandii"
"NT","Inga bullata"
"LC","Inga bullatorugosa"
"DD","Inga cabelo"
"LC","Inga calantha"
"DD","Inga caudata"
"CR","Inga enterolobioides"
"NT","Inga exfoliata"
"DD","Inga exilis"
"VU","Inga grazielae"
"LC","Inga hispida"
"LC","Inga lanceifolia"
"LC","Inga laurina"
"LC","Inga lenticellata"
"NT","Inga lentiscifolia"
"DD","Inga leptantha"
"VU","Inga maritima"
"VU","Inga mendoncaei"
"DD","Inga microcalyx"
"CR","Inga pedunculata"
"VU","Inga platyptera"
"VU","Inga pleiogyna"
"VU","Inga praegnans"
"DD","Inga salicifoliola"
"DD","Inga santaremnensis"
"NT","Inga sellowiana"
"DD","Inga suberosa"
"VU","Inga suborbicularis"
"VU","Inga unica"
"DD","Inga xinguensis"
"LC","Inulopsis camporum"
"LC","Inulopsis scaposa"
"LC","Ionopsis utricularioides"
"LC","Ipomoea acutisepala"
"DD","Ipomoea argentea"
"DD","Ipomoea calyptrata"
"DD","Ipomoea campestris"
"VU","Ipomoea carajasensis"
"EN","Ipomoea cavalcantei"
"DD","Ipomoea cynanchifolia"
"VU","Ipomoea daturiflora"
"LC","Ipomoea fimbriosepala"
"DD","Ipomoea hirsutissima"
"CR","Ipomoea macedoi"
"LC","Ipomoea sericophylla"
"VU","Ipomoea subrevoluta"
"VU","Iryanthera campinae"
"LC","Iryanthera obovata"
"LC","Isabelia violacea"
"VU","Isabelia virginalis"
"LC","Ischnosiphon gracilis"
"EN","Ischnosiphon ovatus"
"LC","Iseia luxurians"
"EN","Isoetes bradei"
"LC","Isoetes gigantea"
"LC","Isoetes martii"
"DD","Isoetes organensis"
"NT","Itatiella ulei"
"LC","Itaya amicorum"
"DD","Jacaranda bullata"
"CR","Jacaranda carajasensis"
"EN","Jacaranda crassifolia"
"VU","Jacaranda densicoma"
"CR","Jacaranda egleri"
"EN","Jacaranda grandifoliolata"
"CR","Jacaranda intricata"
"LC","Jacaranda macrantha"
"EN","Jacaranda microcalyx"
"LC","Jacaranda puberula"
"LC","Jacaranda racemosa"
"EN","Jacaranda rugosa"
"LC","Jacaranda subalpina"
"LC","Jacaranda ulei"
"LC","Jacaratia spinosa"
"VU","Jacquemontia cephalantha"
"EN","Jacquemontia revoluta"
"LC","Jacquiniella globosa"
"EN","Jamesonia biardii"
"EN","Jamesonia brasiliensis"
"EN","Jamesonia cheilanthoides"
"EN","Jamesonia insignis"
"CR","Jamesonia rufescens"
"EN","Janusia christianeae"
"VU","Janusia linearifolia"
"EN","Janusia occhionii"
"EN","Janusia schwannioides"
"EN","Jensenia difformis"
"LC","Joannesia princeps"
"EN","Jobinia hatschbachii"
"LC","Jungermannia amoena"
"EN","Jungermannia decolor"
"LC","Justicia brasiliana"
"DD","Justicia bullata"
"EN","Justicia clausseniana"
"NT","Justicia clivalis"
"LC","Justicia congrua"
"LC","Justicia cydoniifolia"
"VU","Justicia genuflexa"
"LC","Justicia kleinii"
"LC","Justicia laevilinguis"
"LC","Justicia lythroides"
"EN","Justicia polita"
"LC","Justicia pseudoamazonica"
"NT","Justicia pygmaea"
"VU","Justicia ramulosa"
"LC","Justicia scheidweileri"
"LC","Justicia symphyantha"
"VU","Justicia tijucensis"
"NT","Justicia wasshauseniana"
"EN","Karawata depressa"
"CR","Karawata gustavoi"
"DD","Kielmeyera anisosepala"
"DD","Kielmeyera juruenensis"
"EN","Kielmeyera occhioniana"
"CR","Kielmeyera rufotomentosa"
"CR","Kielmeyera rupestris"
"CR","Kielmeyera sigillata"
"CR","Kielmeyera similis"
"CR","Kielmeyera trichophora"
"EN","Klotzschia rhizophylla"
"LC","Koanophyllon adamantium"
"LC","Koellensteinia tricolor"
"LC","Krameria grandiflora"
"LC","Krameria tomentosa"
"LC","Krapovickasia urticifolia"
"DD","Lacistema lucidum"
"NT","Lacistema robustum"
"LC","Ladenbergia hexandra"
"LC","Laelia gloriosa"
"VU","Lafoensia nummularifolia"
"LC","Lafoensia pacari"
"DD","Lafoensia replicata"
"VU","Lagenocarpus adamantinus"
"EN","Lagenocarpus bracteosus"
"EN","Lagenocarpus humilis"
"LC","Lagenocarpus minarum"
"EN","Lagenocarpus polyphyllus"
"EN","Lamanonia brasiliensis"
"LC","Lamanonia cuneata"
"LC","Langsdorffia hypogaea"
"LC","Lankesterella ceracifolia"
"CR","Lantana canescens"
"LC","Lantana gracilis"
"DD","Lantana ramboi"
"VU","Lapaea harleyi"
"EN","Lapanthus duartei"
"DD","Lapanthus itambensis"
"LC","Laplacea fruticosa"
"CR","Lathyrus acutifolius"
"LC","Lathyrus hasslerianus"
"DD","Lathyrus hookeri"
"VU","Lathyrus paraguariensis"
"DD","Lathyrus parodii"
"LC","Laurembergia tetrandra"
"EN","Lavoisiera adamantium"
"CR","Lavoisiera angustifolia"
"EN","Lavoisiera bradeana"
"EN","Lavoisiera caryophyllea"
"VU","Lavoisiera cordata"
"EN","Lavoisiera firmula"
"EN","Lavoisiera harleyi"
"EN","Lavoisiera humilis"
"LC","Lavoisiera imbricata"
"DD","Lavoisiera itambana"
"NT","Lavoisiera macrocarpa"
"DD","Lavoisiera mellobarretoi"
"NT","Lavoisiera mucorifera"
"LC","Lavoisiera pulchella"
"EN","Lavoisiera punctata"
"DD","Lavoisiera quinquenervis"
"DD","Lavoisiera rigida"
"DD","Lavoisiera sampaioana"
"VU","Lavoisiera senaei"
"VU","Lavoisiera subulata"
"CR","Lavoisiera tetragona"
"LC","Leandra adenothrix"
"LC","Leandra capilliflora"
"LC","Leandra catharinensis"
"LC","Leandra echinata"
"EN","Leandra hatschbachii"
"DD","Leandra humilis"
"NT","Leandra salicina"
"DD","Lecosia oppositifolia"
"DD","Lecythis barnebyi"
"LC","Lecythis brancoensis"
